config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw
tailOff_beta0_balance,NaN,NaN,31,5,0,19.9963391577838,219606.760556743,0,Inf,0.744475735634921,0.0704656426279495,-0.0894535826046535,0.00709808541208405
tailOff_beta0_balance,NaN,NaN,32,6,0,19.9932900200149,219582.252661361,0,Inf,0.823527932089793,0.0754988259392613,-0.0957616906858465,0.00621123183952348
tailOff_beta0_balance,NaN,NaN,33,7,0,20.0086340184298,219759.759163395,0,Inf,0.898731012394032,0.0810035440087353,-0.101828911373769,0.00448333567476101
tailOff_beta0_balance,NaN,NaN,34,8,0,20.0083454436964,219774.564736599,0,Inf,0.958477995047608,0.0878079303185897,-0.10631276559056,0.00275219102214588
tailOff_beta0_balance,NaN,NaN,35,9,0,19.9933397396846,219632.048502332,0,Inf,0.999606596412676,0.0961310525337843,-0.119489025411023,0.00414854074225065
tailOff_beta0_balance,NaN,NaN,36,10,0,20.001282429262,219714.95543258,0,Inf,1.02904654496093,0.106300134956142,-0.148200066342515,0.0060312067050355
tailOff_beta0_balance,NaN,NaN,37,11,0,20.001282429262,219714.95543258,0,Inf,1.0449088390957,0.1193234128648,-0.187922784007663,0.00154333136055385
tailOff_beta0_balance,NaN,NaN,38,12,0,19.9915018981578,219609.687604044,0,Inf,1.08307679154212,0.136976975226663,-0.228557461392594,-0.0010485658259834
tailOff_beta0_balance,NaN,NaN,39,13,0,19.980163305456,219511.770795067,0,Inf,1.09556037295046,0.162859678612379,-0.279974160497126,0.00837954105700512
tailOff_beta0_balance,NaN,NaN,40,14,0,19.9902450991264,219613.846844775,0,Inf,1.14389204830357,0.177076478821907,-0.332259389314476,0.00766419627225966
tailOff_beta0_balance,NaN,NaN,41,-4.997,0,39.9966539229931,437827.935153094,0,Inf,NaN,NaN,NaN,NaN
tailOff_beta0_balance,NaN,NaN,42,-4,0,40.0076057582147,437678.450856977,0,Inf,-0.0836922307337646,0.0475097338298996,-0.190679184834662,0.0175886622360357
tailOff_beta0_balance,NaN,NaN,43,-3,0,40.0016691364077,437370.903012027,0,Inf,0.0123031468472351,0.0467360928805647,-0.173223847134249,0.0164872367258186
tailOff_beta0_balance,NaN,NaN,44,-2,0,40.0081233311173,437317.817206413,0,Inf,0.108105827302382,0.0466678493120604,-0.156989743514419,0.0148121711408723
tailOff_beta0_balance,NaN,NaN,45,-1,0,40.0000302901124,437079.348681831,0,Inf,0.203561219319231,0.0471792721557388,-0.141327254014699,0.0132416683265336
tailOff_beta0_balance,NaN,NaN,46,-0,0,39.9892982975953,436882.809963865,0,Inf,0.298824078264037,0.0482861782774055,-0.126057015344489,0.0122311769663371
tailOff_beta0_balance,NaN,NaN,47,1,0,40.0009759218085,436935.438685014,0,Inf,0.392217328214182,0.0501534499633804,-0.111705338460842,0.0118593864901038
tailOff_beta0_balance,NaN,NaN,48,2,0,40.0070552244646,436909.621327523,0,Inf,0.483654006084899,0.0527424197243281,-0.0987835488914532,0.0109791204607367
tailOff_beta0_balance,NaN,NaN,49,3,0,39.9949345249732,436684.600926899,0,Inf,0.57240142535974,0.0557834322082523,-0.0870656038180915,0.0100350908311457
tailOff_beta0_balance,NaN,NaN,50,4,0,39.9965916718525,436654.220456726,0,Inf,0.658753213031912,0.0594683094650114,-0.0761346589623741,0.0103071610187115
tailOff_beta0_balance,NaN,NaN,51,5,0,39.9878345894093,436523.59625062,0,Inf,0.74136965544003,0.0634803906260257,-0.0658802667407308,0.00922829375962721
tailOff_beta0_balance,NaN,NaN,52,6,0,40.0016959267734,436639.88315761,0,Inf,0.819033672101326,0.068011019734712,-0.0562369369607707,0.0074039356637153
tailOff_beta0_balance,NaN,NaN,53,7,0,39.9942245912504,436549.694736392,0,Inf,0.891106131220854,0.0734287176419501,-0.0470213609700429,0.00696119451111672
tailOff_beta0_balance,NaN,NaN,54,8,0,39.9940080784537,436463.870593485,0,Inf,0.951540085020649,0.0802790871153148,-0.037949594680525,0.00693581007125852
tailOff_beta0_balance,NaN,NaN,55,9,0,39.9905540490645,436360.484087817,0,Inf,0.974393491030091,0.093151775209425,-0.035718260551351,0.00467496275050424
tailOff_beta0_balance,NaN,NaN,56,10,0,39.9948731836099,436333.295941564,0,Inf,0.989596492099744,0.107872136025675,-0.0396705631327253,0.00390582140552207
tailOff_beta0_balance,NaN,NaN,57,11,0,39.9960464549414,436319.731164151,0,Inf,1.02895947891529,0.119084246828507,-0.0420206163059097,0.00474764528338997
tailOff_beta0_balance,NaN,NaN,58,12,0,40.0020173658313,436283.73413858,0,Inf,1.07376590726971,0.132040885831106,-0.0462229088265603,0.00465244275232329
tailOff_beta0_balance,NaN,NaN,59,13,0,39.9932591023432,436196.840093543,0,Inf,1.12114032861264,0.146703796533106,-0.0527073137491835,0.00524319160744574
tailOff_beta0_balance,NaN,NaN,60,14,0,39.9995411359773,436212.64935012,0,Inf,1.16039851072877,0.16109167934444,-0.0608103946830364,0.00571207383912791
