config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw,eps_total,eps_sb,eps_wb0
de5dr0,5,0,30,-4.0,0,20.222551111387155,228540.04056939,51.8,1.90381891893777,-0.1831552451046829,0.03252912606643899,-0.00952601910938,0.0066388597078362,0.009152592267666364,0.00815639608252413,0.0016692222222222221
de5dr0,5,0,31,-4.0,0,19.90223693974784,231475.489343458,44.7,2.17050879046282,-0.18015319072372166,0.05689948771986175,-0.0074468164404868,0.0034841580642156,0.009506492733642239,0.00815639608252413,0.0016692222222222221
de5dr0,5,0,32,-0.004,0,20.157163060639306,227797.246588498,44.7,2.19824216877846,0.2603643867684486,0.05364878278403129,-0.135744402863161,0.0089964945515668,0.009537946000463387,0.00815639608252413,0.0016692222222222221
de5dr0,5,0,33,8.0,0,20.145948594838938,227765.317976006,44.7,2.19702214263031,1.0502316222156152,0.10052811021401628,-0.453478177393316,0.0031996229788336,0.009536581759306119,0.00815639608252413,0.0016692222222222221
de5dr0,5,0,34,8.0,0,20.208907637741344,228813.49842578,61.5,1.60330626889489,1.0790472332043433,0.03146878389763211,-0.505834796831633,-0.0001701603204359,0.008619891782977814,0.00815639608252413,0.0016692222222222221
de5dr0,5,0,35,-3.996,0,20.163097015757266,228391.307270255,61.5,1.5996836284841,-0.18644731715030205,-0.015607850910241475,-0.0123733398527132,0.0103534157358233,0.008612439671078654,0.00815639608252413,0.0016692222222222221
de5dr0,5,0,36,-0.004,0,20.145055002856633,228175.611989005,61.5,1.59825688823193,0.2675678378892745,-0.020425751622882397,-0.161158799541437,0.0122159057535397,0.008609497302671647,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,37,-0.004,0,20.15164906383253,228250.023194353,61.51,1.59851926403856,0.17918526055001227,-0.02168047999684145,0.112005075204996,0.0146386129632491,0.008610038716233946,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,38,-3.996,0,20.15565999819791,228366.591451916,61.5,1.59909551845703,-0.27842445389049986,-0.012143795998230709,0.277662721248049,0.0121435863960995,0.008611227320316533,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,39,7.996,0,20.14638739635544,228316.106985703,61.5,1.59836225233225,0.9956390672252098,0.018821214732650658,-0.21833101392846,0.0022873843528413,0.008609714739024854,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,40,7.996,0,20.210686825338804,229007.926132031,51.8,1.9027051635691,0.9823989168374114,0.06592740900051741,-0.205547390712215,0.0029335663526076,0.009150901216622997,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,41,0.004,0,20.190355242974316,228815.973403408,51.8,1.9007965436793,0.18454394341553076,0.029373216367190425,0.0998125159474188,0.0099364595390366,0.009147998837948415,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,42,-4.0,0,20.205627128987892,228990.838735026,51.8,1.90223018645024,-0.2686814134172499,0.035218147045532104,0.259461737946503,0.0077452623196545,0.009150179460355214,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,43,-4.0,0,20.184493708935296,228667.280907971,44.7,2.20121548313095,-0.2623019787370255,0.059324649332219884,0.251741471861062,0.0046622843691186,0.00954126335758583,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,44,-0.004,0,20.17056841464319,228526.486530986,44.7,2.19970054325705,0.18532254064464682,0.05184962303355316,0.101410075842735,0.0078103295273571,0.009539574437944856,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,45,8.0,0,20.184945963893274,228724.457775287,44.7,2.20126468419337,0.976468783173681,0.09070008653717726,-0.201332040253402,0.0044129670563497,0.00954131816329282,0.00815639608252413,0.0016692222222222221
dem5dr0,-5,0,46,8.0,0,40.3367217263973,456264.609225663,89.47,2.19817183244791,0.9926744403870985,0.07642802419949561,-0.218625181069233,0.0022820062562451,0.009340778509214352,0.00815639608252413,0.0014721333333333332
dem5dr0,-5,0,47,-3.996,0,40.37924286528683,456021.248121394,89.47,2.20048342022669,-0.2645762471446159,0.046742437457948455,0.259859861321597,0.0047070580335557,0.009343358674414225,0.00815639608252413,0.0014721333333333332
dem5dr0,-5,0,48,-0.004,0,40.413627326952266,456147.552623453,89.46,2.20259825995602,0.19601035281637919,0.03995078665747685,0.102602755049223,0.0062265735329635,0.009345713666845739,0.00815639608252413,0.0014721333333333332
dem5dr0,-5,0,49,-0.004,0,40.39927415047162,455944.501314117,103.6,1.90203828270178,0.19501780903371932,0.009735211371012454,0.107161348206467,0.0090357289721248,0.008952798863258261,0.00815639608252413,0.0014721333333333332
dem5dr0,-5,0,50,8.0,0,40.33478755399244,455129.034172062,103.6,1.89901086488045,1.001977657903232,0.046331335230213766,-0.228110034493,0.0010199433546141,0.008948189416471432,0.00815639608252413,0.0014721333333333332
dem5dr0,-5,0,51,-3.996,0,40.354549819855684,455299.110332788,103.6,1.89993863352512,-0.27060923795954583,0.016670085790426305,0.269738914250546,0.0091566109580432,0.008949603515119708,0.00815639608252413,0.0014721333333333332
dem5dr0,-5,0,52,-3.996,0,40.375821425791834,455483.986899318,123.01,1.60182806839738,-0.2761947428642066,-0.03177430535559488,0.28462428680776,0.0164903469804687,0.008419765361846576,0.00815639608252413,0.0014721333333333332
dem5dr0,-5,0,53,7.996,0,40.29708232722386,454579.21265749,123.0,1.59884397574492,1.0152083650318904,-0.0015120971523708236,-0.242470752335636,-0.0037968458270749,0.008413619674320255,0.00815639608252413,0.0014721333333333332
dem5dr0,-5,0,54,0.004,0,40.339862328513526,455040.928435429,123.0,1.60053579928996,0.19718482962418676,-0.03917079457027214,0.111565473465057,0.0131796737671535,0.008417106210561711,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,58,9.996,0,40.33828223199787,455819.859092809,123.0,1.60047331114959,1.1711646110304816,0.02742264625795835,-0.495963337826552,-0.0085989109178371,0.008416977539080816,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,59,14.0,0,40.32252836327423,455495.699846306,123.0,1.59985029209773,1.3980718333523952,0.10846141202714678,-0.763857299064441,-0.0135885885420066,0.008415694218599527,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,60,12.004,0,40.36642433695663,455861.32816599,123.0,1.6015862476331,1.2801498194543004,0.06541780112133598,-0.645640766312644,-0.0107071217596932,0.00841926801979281,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,61,11.0,0,40.36566183900333,455824.422514804,123.01,1.60142631983677,1.2259423002640797,0.04553921025081313,-0.576221452444462,-0.0090045246879905,0.008418939037197943,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,62,12.996,0,40.313482794202336,455157.48919312,123.0,1.59949256637317,1.336091267860669,0.08446387841374517,-0.707523126733495,-0.0125252153318912,0.008414956998325713,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,63,12.996,0,40.64662508868038,455599.064928115,89.48,2.20138651993553,1.2728147719752276,0.15012723515175064,-0.634654295360694,0.0003746076587422,0.015496684736029009,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,64,11.004,0,40.52188025507134,455801.158367508,89.47,2.20276853254799,1.1800430731038196,0.11746477136870327,-0.519907090753749,0.0018573748959947,0.011858033639888192,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,65,13.996,0,40.73250909762813,455413.725550496,89.47,2.20137946775433,1.3246652832541592,0.170070215473191,-0.680997620900289,-0.0001369838932013,0.01775937311649088,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,66,10.004,0,40.42319239923233,455277.384039538,89.47,2.20101688658087,1.1370066566167503,0.10264465191089539,-0.451313345509647,0.000888212840261,0.010197043614318833,0.00815639608252413,0.0014721333333333332
de0dr0_extra,0,0,67,11.996,0,40.54354011357486,455101.835790068,89.47,2.20016820690768,1.223998641339635,0.13299647984316032,-0.57908263998663,0.0010179898851638,0.013595424360287463,0.00815639608252413,0.0014721333333333332
de0dr0,0,0,69,-0.004,0,20.179459066228674,228043.758566692,61.52,1.60045873880817,0.22283736744016502,-0.0226404171689818,-0.0184486414598177,0.0141855254933193,0.008614036420401856,0.00815639608252413,0.0016692222222222221
de5dr0,5,0,70,-0.004,0,40.38345378736037,456256.051408016,123.0,1.60225971122238,0.27965480483693106,-0.03778199596660158,-0.1591839680171,0.007242760231968,0.008420652803181196,0.00815639608252413,0.0014721333333333332
dem5dr0,-5,0,71,0.004,0,20.175159510017526,227868.48680404,61.5,1.60063751481561,0.18041719761213168,-0.019316941421074898,0.111958387090078,0.0136829892226291,0.00861440452816853,0.00815639608252413,0.0016692222222222221
