config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw,eps_total,eps_sb,eps_wb0,C_T
de5dr0,5,0,19,0.183429686911376,0,40.3266798777295,455303.983412896,123,1.60001447228262,0.279825910060227,-0.0374512839984732,-0.160951994657407,0.0079572738974618,0.0084160324814666,0.0081563960825241,0.0014721333333333,0.249330113571236
de5dr0,5,0,20,8.5968289478382,0,40.3329897229091,455397.72315873,123,1.60026400805709,1.09113304117193,0.0189277811700314,-0.502965698055241,-0.0056076875050851,0.0084165464972119,0.0081563960825241,0.0014721333333333,0.248160491134011
de5dr0,5,0,21,-4.04849379064255,0,40.3017658267128,454814.622006505,123,1.59902919452261,-0.185391897729503,-0.0357364897785172,-0.00466073372700865,0.0129823825644476,0.0084140016641139,0.0081563960825241,0.0014721333333333,0.254724148200403
de5dr0,5,0,22,-4.04849379064255,0,40.4096591525543,455284.512822311,89.5,2.20140059153176,-0.183900912085078,0.0440822940592436,0.007190730075597,0.0028843759236081,0.0093443806484213,0.0081563960825241,0.0014721333333333,0.0904476042412717
de5dr0,5,0,23,8.5928289478382,0,40.4192235212849,455477.365431238,89.51,2.20167496676232,1.06078124783975,0.0958117297346827,-0.451076747591205,0.0026091206161977,0.0093446861815467,0.0081563960825241,0.0014721333333333,0.0733247314170335
de5dr0,5,0,24,0.191429686911376,0,40.3286740647179,454383.483103226,89.51,2.19675460299492,0.272602832009399,0.0428546256430864,-0.136494279699571,0.0044831788857946,0.0093391934686365,0.0081563960825241,0.0014721333333333,0.0872728212143574
de5dr0,5,0,25,0.191429686911376,0,40.1179320322617,458560.390678766,103.6,1.88883025717605,0.276317081690881,0.0130298029979493,-0.146506341327655,0.0059521992999707,0.0089325842693443,0.0081563960825241,0.0014721333333333,0.17272284643034
de5dr0,5,0,26,-4.05249379064255,0,40.3221520270679,454061.547130084,103.6,1.89841767143326,-0.185867243878394,0.0136400471097486,0.00363605214586645,0.0064565377413353,0.008947284575562,0.0081563960825241,0.0014721333333333,0.178927966867155
de5dr0,5,0,27,8.5928289478382,0,40.3775604410145,454782.374785747,103.6,1.90101890087764,1.0730163665509,0.066209772334449,-0.471222936420374,0.0001108449630889,0.0089512483707822,0.0081563960825241,0.0014721333333333,0.168916101136066
de5dr0,5,0,28,8.59718057275319,0,20.1952192882394,228091.772430064,51.8,1.9012531541898,1.05833470303842,0.0864896038673907,-0.470810845917371,0.0011251763799363,0.0091486937041761,0.0081563960825241,0.0016692222222222,0.0893394358578917
de5dr0,5,0,29,0.194495731148568,0,20.1941472723463,228203.419999191,51.8,1.90115251908283,0.261339585722949,0.0322246884463592,-0.150326887876681,0.0094234481829232,0.0091485405861993,0.0081563960825241,0.0016692222222222,0.0951194544040807
de5dr0,5,0,30,-4.03622097057313,0,20.2225511113872,228540.04056939,51.8,1.90381891893777,-0.183155245104683,0.0325652724107857,-0.00946684818526967,0.0066388597078362,0.0091525922676663,0.0081563960825241,0.0016692222222222,0.110069558136273
de5dr0,5,0,31,-4.03622097057313,0,19.9022369397478,231475.489343458,44.7,2.17050879046282,-0.180153190723722,0.0569356340642085,-0.00738764491684324,0.0034841580642156,0.0095064927336422,0.0081563960825241,0.0016692222222222,0.025552955421954
de5dr0,5,0,32,0.186495731148568,0,20.1571630606393,227797.246588498,44.7,2.19824216877846,0.260364386768449,0.0546485864171391,-0.136055601665438,0.0089964945515668,0.0095379460004633,0.0081563960825241,0.0016692222222222,0.0272506761630057
de5dr0,5,0,33,8.60118057275318,0,20.1459485948389,227765.317976006,44.7,2.19702214263031,1.05023162221562,0.11048569677433,-0.454460281680193,0.0031996229788336,0.0095365817593061,0.0081563960825241,0.0016692222222222,0.0309545033250079
de5dr0,5,0,34,8.60118057275318,0,20.2089076377413,228813.49842578,61.5,1.60330626889489,1.07904723320434,0.0414263704579458,-0.506816864747941,-0.0001701603204359,0.0086198917829778,0.0081563960825241,0.0016692222222222,0.206105716386052
de5dr0,5,0,35,-4.03222097057313,0,20.1630970157573,228391.307270255,61.5,1.5996836284841,-0.186447317150302,-0.0155717045658946,-0.0123141705203868,0.0103534157358233,0.0086124396710786,0.0081563960825241,0.0016692222222222,0.20317462303527
de5dr0,5,0,36,0.186495731148568,0,20.1450550028566,228175.611989005,61.5,1.59825688823193,0.267567837889275,-0.0194259479897744,-0.161469986818993,0.0122159057535397,0.0086094973026716,0.0081563960825241,0.0016692222222222,0.206740991240488
